Datetime,Buy,Sell,Transfer
1681799495000,"169.76","179.8","171.48"
1681800363000,"169.76","179.8","171.48"
1681801129000,"169.76","179.8","171.48"
1681802286000,"169.76","179.8","171.48"
1681803053000,"169.76","179.8","171.48"
1681803817000,"169.76","179.8","171.48"
1681804600000,"169.76","179.8","171.48"
1681806267000,"169.76","179.8","171.48"
1681807099000,"169.76","179.8","171.48"
1681807892000,"169.76","179.8","171.48"
1681809070000,"169.76","179.8","171.48"
1681811059000,"169.76","179.8","171.48"
1681811833000,"169.76","179.8","171.48"
1681813280000,"169.76","179.8","171.48"
1681814084000,"169.76","179.8","171.48"
1681814847000,"169.76","179.8","171.48"
1681815625000,"169.76","179.8","171.48"
1681816646000,"169.76","179.8","171.48"
1681817420000,"169.76","179.8","171.48"
1681818197000,"169.76","179.8","171.48"
1681818969000,"169.76","179.8","171.48"
1681821440000,"169.76","179.8","171.48"
1681822827000,"169.76","179.8","171.48"
1681824330000,"169.76","179.8","171.48"
1681825113000,"169.76","179.8","171.48"
1681825888000,"169.76","179.8","171.48"
1681827133000,"169.76","179.8","171.48"
1681828509000,"169.76","179.8","171.48"
1681829295000,"169.76","179.8","171.48"
1681830384000,"169.76","179.8","171.48"
1681831643000,"169.76","179.8","171.48"
